epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,609.872,1.63516,1.94148,1.35428,0.55608,0.27214,0.26868,0.14681,1.75568,2.57795,1.53384,0.0670332,0.000332998,0.000332998
2,1204.29,1.55745,1.6283,1.34787,0.48321,0.3796,0.36763,0.20876,1.57788,1.87773,1.40427,0.0340266,0.000659734,0.000659734
3,1791.6,1.51239,1.52362,1.32573,0.57714,0.38677,0.39406,0.22934,1.53108,1.60937,1.3905,0.00101344,0.000979871,0.000979871
4,2382.74,1.44812,1.39046,1.27939,0.5824,0.41809,0.42123,0.25213,1.46717,1.52096,1.36104,0.0009703,0.0009703,0.0009703
5,2968.67,1.40549,1.30803,1.25737,0.58771,0.44652,0.46072,0.27404,1.41796,1.46022,1.31801,0.0009604,0.0009604,0.0009604
6,3554.37,1.36142,1.23289,1.22989,0.60267,0.45969,0.48911,0.29049,1.41711,1.40299,1.30427,0.0009505,0.0009505,0.0009505
7,4139.59,1.3252,1.18327,1.21073,0.64246,0.48516,0.50985,0.30743,1.3645,1.31456,1.28294,0.0009406,0.0009406,0.0009406
8,4722.72,1.30832,1.15428,1.21031,0.63595,0.50475,0.52539,0.31984,1.37624,1.24281,1.28552,0.0009307,0.0009307,0.0009307
9,5310.93,1.29363,1.12251,1.19707,0.63935,0.49773,0.5311,0.32216,1.33805,1.27439,1.2613,0.0009208,0.0009208,0.0009208
10,5897.75,1.27553,1.08728,1.18243,0.61472,0.53633,0.53462,0.33274,1.30889,1.21876,1.25124,0.0009109,0.0009109,0.0009109
11,6483.87,1.26678,1.08291,1.18888,0.62525,0.54865,0.5537,0.34223,1.3194,1.22236,1.24746,0.000901,0.000901,0.000901
12,7069.97,1.24327,1.04644,1.17532,0.62569,0.55222,0.56514,0.35508,1.30249,1.16453,1.23858,0.0008911,0.0008911,0.0008911
13,7653.97,1.23307,1.01524,1.16712,0.6118,0.5595,0.56185,0.35056,1.29093,1.1579,1.24047,0.0008812,0.0008812,0.0008812
14,8236.85,1.23413,1.00358,1.16714,0.65915,0.56619,0.59286,0.37551,1.28994,1.10592,1.2409,0.0008713,0.0008713,0.0008713
15,8818.43,1.21222,0.99237,1.15741,0.65912,0.57201,0.5912,0.37363,1.25775,1.10376,1.21786,0.0008614,0.0008614,0.0008614
16,9400.7,1.21013,0.9706,1.1513,0.66499,0.56038,0.58354,0.37226,1.25157,1.09828,1.22059,0.0008515,0.0008515,0.0008515
17,9985.08,1.19227,0.96456,1.14355,0.66495,0.57707,0.60805,0.38541,1.24339,1.05897,1.20853,0.0008416,0.0008416,0.0008416
18,10569.4,1.19015,0.94511,1.13684,0.698,0.59144,0.62812,0.40317,1.23149,1.03681,1.20385,0.0008317,0.0008317,0.0008317
19,11151.1,1.17766,0.92454,1.135,0.67736,0.61192,0.62539,0.39773,1.23493,1.04319,1.20191,0.0008218,0.0008218,0.0008218
20,11733.6,1.1627,0.91381,1.12939,0.65935,0.59076,0.61659,0.39058,1.23788,1.04794,1.19718,0.0008119,0.0008119,0.0008119
21,12315.4,1.1565,0.91366,1.12044,0.6881,0.60122,0.63366,0.40419,1.22511,1.01757,1.19362,0.000802,0.000802,0.000802
22,12897.7,1.14328,0.88165,1.11537,0.69007,0.61921,0.63239,0.40659,1.21886,0.99392,1.2004,0.0007921,0.0007921,0.0007921
23,13479.2,1.14502,0.88393,1.12041,0.69152,0.59656,0.62514,0.4018,1.22189,1.01296,1.1967,0.0007822,0.0007822,0.0007822
24,14064.7,1.15195,0.89012,1.12136,0.71534,0.60918,0.64476,0.41044,1.22822,0.98999,1.20324,0.0007723,0.0007723,0.0007723
25,14648.8,1.14205,0.87216,1.11182,0.69759,0.62629,0.65478,0.42015,1.22077,0.97019,1.188,0.0007624,0.0007624,0.0007624
26,15231.7,1.13675,0.87,1.10643,0.6969,0.60819,0.63402,0.41101,1.21675,0.98357,1.1852,0.0007525,0.0007525,0.0007525
27,15812.8,1.13291,0.86017,1.1097,0.69938,0.6206,0.64874,0.41778,1.2068,0.96427,1.18275,0.0007426,0.0007426,0.0007426
28,16398.6,1.11792,0.83409,1.09716,0.70209,0.62734,0.661,0.43021,1.19872,0.95674,1.17911,0.0007327,0.0007327,0.0007327
29,16985.2,1.11847,0.83896,1.09755,0.72103,0.62765,0.6631,0.42753,1.19709,0.94935,1.17055,0.0007228,0.0007228,0.0007228
30,17568.7,1.12061,0.84619,1.09418,0.72756,0.63165,0.66661,0.43555,1.18015,0.93456,1.16927,0.0007129,0.0007129,0.0007129
31,18151.8,1.1085,0.82478,1.09172,0.70607,0.62891,0.66258,0.43328,1.18566,0.95961,1.16394,0.000703,0.000703,0.000703
32,18734.2,1.12047,0.83508,1.09622,0.7022,0.62669,0.65934,0.43212,1.18487,0.93355,1.16739,0.0006931,0.0006931,0.0006931
33,19318.4,1.10239,0.81865,1.08901,0.72106,0.64845,0.68025,0.44303,1.18111,0.91552,1.1649,0.0006832,0.0006832,0.0006832
34,19901.4,1.08922,0.80757,1.0846,0.72917,0.64091,0.67798,0.44371,1.17187,0.91863,1.16009,0.0006733,0.0006733,0.0006733
35,20483.8,1.0885,0.80697,1.07659,0.73639,0.63447,0.67371,0.43926,1.17436,0.91166,1.15769,0.0006634,0.0006634,0.0006634
36,21067.3,1.08542,0.80542,1.07524,0.72583,0.64003,0.67723,0.44476,1.1686,0.8976,1.1525,0.0006535,0.0006535,0.0006535
37,21651.9,1.07576,0.78384,1.06973,0.72991,0.6463,0.6887,0.45616,1.17486,0.89484,1.15439,0.0006436,0.0006436,0.0006436
38,22233.3,1.08066,0.79277,1.07411,0.73231,0.65366,0.69054,0.45735,1.16646,0.88415,1.15107,0.0006337,0.0006337,0.0006337
39,22816.1,1.08273,0.78224,1.07438,0.75348,0.64309,0.69251,0.45424,1.1665,0.8938,1.15211,0.0006238,0.0006238,0.0006238
40,23398.1,1.06107,0.76958,1.06828,0.72634,0.65201,0.6868,0.45436,1.16709,0.88087,1.15323,0.0006139,0.0006139,0.0006139
41,23979.8,1.07576,0.76989,1.07162,0.73107,0.6575,0.70048,0.46259,1.17512,0.8901,1.15669,0.000604,0.000604,0.000604
42,24562.1,1.05527,0.75311,1.06239,0.73327,0.65454,0.6912,0.4597,1.16245,0.86841,1.14995,0.0005941,0.0005941,0.0005941
43,25142.9,1.05658,0.76207,1.06229,0.73429,0.66183,0.69676,0.46042,1.15711,0.87173,1.14519,0.0005842,0.0005842,0.0005842
44,25724.6,1.05706,0.75706,1.05945,0.72067,0.6742,0.69572,0.45808,1.16679,0.86931,1.15024,0.0005743,0.0005743,0.0005743
45,26306.4,1.04212,0.74501,1.05793,0.72881,0.65956,0.69351,0.46264,1.15328,0.89985,1.14743,0.0005644,0.0005644,0.0005644
46,26887.9,1.03895,0.73627,1.05318,0.74127,0.67197,0.70762,0.46927,1.14861,0.85097,1.14062,0.0005545,0.0005545,0.0005545
47,27468.4,1.0298,0.72729,1.04982,0.7425,0.67294,0.70287,0.46877,1.15241,0.87044,1.14536,0.0005446,0.0005446,0.0005446
48,28050,1.03773,0.72666,1.05244,0.74988,0.66523,0.71057,0.47429,1.15048,0.86841,1.14194,0.0005347,0.0005347,0.0005347
49,28631,1.0311,0.72629,1.04841,0.75285,0.67097,0.71247,0.47695,1.14375,0.84629,1.13928,0.0005248,0.0005248,0.0005248
50,29212.8,1.02046,0.72521,1.0443,0.75561,0.67058,0.71329,0.47861,1.14925,0.85205,1.13945,0.0005149,0.0005149,0.0005149
